id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Canberra,2007-11-01,8.0,24.3,0.0,3.4,6.3,30.0,6.0,20.0,68.0,29.0,1019.7,1015.0,7.0,14.4,23.6,0.0,1.0,0.866025,-0.5,1.0,0.0,-0.602635,-0.798017,0.092268,0.995734,0.445738,0.895163,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-02,14.0,26.9,3.6,4.4,9.7,39.0,4.0,17.0,80.0,36.0,1012.4,1008.4,5.0,17.5,25.7,1.0,1.0,0.866025,-0.5,1.0,0.0,-0.982973,0.18375,-0.273663,-0.961826,0.092268,0.995734,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-03,13.7,23.4,3.6,5.8,3.3,85.0,6.0,6.0,82.0,69.0,1009.5,1007.2,8.0,15.4,20.2,1.0,1.0,0.866025,-0.5,1.0,0.0,-0.602635,-0.798017,-0.982973,-0.18375,0.445738,-0.895163,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-04,13.3,15.5,39.8,7.2,9.1,54.0,30.0,24.0,62.0,56.0,1005.5,1007.0,2.0,13.5,14.1,1.0,1.0,0.866025,-0.5,1.0,0.0,-0.602635,-0.798017,0.445738,-0.895163,0.092268,0.995734,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-05,7.6,16.1,2.8,5.6,10.6,50.0,20.0,28.0,68.0,49.0,1018.3,1018.5,7.0,11.1,15.4,1.0,0.0,0.866025,-0.5,1.0,0.0,-0.982973,-0.18375,-0.273663,0.961826,-0.602635,0.798017,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-06,6.2,16.9,0.0,5.8,8.2,44.0,20.0,24.0,70.0,57.0,1023.8,1021.7,7.0,10.9,14.8,0.0,0.0,0.866025,-0.5,1.0,0.0,-0.273663,-0.961826,0.739009,0.673696,0.739009,0.673696,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-07,6.1,18.2,0.2,4.2,8.4,43.0,19.0,26.0,63.0,47.0,1024.6,1022.2,4.0,12.4,17.3,0.0,0.0,0.866025,-0.5,1.0,0.0,-0.273663,-0.961826,0.739009,0.673696,-0.602635,0.798017,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-08,8.3,17.0,0.0,5.6,4.6,41.0,11.0,24.0,65.0,57.0,1026.2,1024.2,6.0,12.1,15.5,0.0,0.0,0.866025,-0.5,1.0,0.0,0.445738,-0.895163,0.739009,0.673696,0.739009,0.673696,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-09,8.8,19.5,0.0,4.0,4.1,48.0,19.0,17.0,70.0,48.0,1026.1,1022.7,7.0,14.1,18.9,0.0,1.0,0.866025,-0.5,1.0,0.0,-0.850217,-0.526432,-0.273663,-0.961826,-0.850217,0.526432,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-10,8.4,22.8,16.2,5.4,7.7,31.0,7.0,6.0,82.0,32.0,1024.1,1020.7,7.0,13.3,21.7,1.0,0.0,0.866025,-0.5,1.0,0.0,0.445738,-0.895163,-0.602635,0.798017,-0.602635,0.798017,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-11,9.1,25.2,0.0,4.2,11.9,30.0,6.0,9.0,74.0,34.0,1024.4,1021.1,1.0,14.6,24.0,0.0,0.0,0.866025,-0.5,1.0,0.0,-0.273663,0.961826,0.739009,0.673696,0.445738,0.895163,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-12,8.5,27.3,0.2,7.2,12.5,41.0,2.0,15.0,54.0,35.0,1023.8,1019.9,0.0,16.8,26.0,0.0,0.0,0.866025,-0.5,1.0,0.0,0.445738,-0.895163,-0.273663,-0.961826,0.445738,0.895163,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-13,10.1,27.9,0.0,7.2,13.0,30.0,6.0,7.0,62.0,29.0,1022.0,1017.1,0.0,17.0,27.1,0.0,0.0,0.866025,-0.5,1.0,0.0,0.932472,0.361242,-0.602635,0.798017,0.445738,0.895163,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-14,12.1,30.9,0.0,6.2,12.4,44.0,7.0,20.0,67.0,20.0,1017.3,1013.1,1.0,19.7,30.7,0.0,0.0,0.866025,-0.5,1.0,0.0,-0.602635,-0.798017,0.445738,-0.895163,0.092268,0.995734,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-15,10.1,31.2,0.0,8.8,13.1,41.0,6.0,20.0,45.0,16.0,1018.2,1013.7,0.0,18.7,30.4,0.0,0.0,0.866025,-0.5,1.0,0.0,-0.602635,-0.798017,-0.602635,0.798017,0.092268,0.995734,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-16,12.4,32.1,0.0,8.4,11.1,46.0,7.0,9.0,70.0,22.0,1017.9,1012.8,0.0,19.1,30.7,0.0,0.0,0.866025,-0.5,1.0,0.0,0.445738,-0.895163,0.739009,0.673696,0.932472,0.361242,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-17,13.8,31.2,0.0,7.2,8.4,44.0,6.0,19.0,72.0,23.0,1014.4,1009.8,7.0,20.2,29.8,0.0,1.0,0.866025,-0.5,1.0,0.0,0.092268,-0.995734,-0.850217,-0.526432,0.092268,0.995734,1,0,0,0,0,0,0,0,0,0,0
Canberra,2007-11-18,11.7,30.0,1.2,7.2,10.1,52.0,6.0,11.0,59.0,26.0,1016.4,1013.0,1.0,20.1,28.6,1.0,0.0,0.866025,-0.5,1.0,0.0,-0.850217,-0.526432,0.092268,0.995734,0.739009,-0.673696,1,0,0,0,0,0,0,0,0,0,0
