id_Location,id_Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
SalmonGums,2009-01-01,14.8,31.8,0.4,46.0,28.0,20.0,62.0,28.0,18.2,30.1,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,-0.602635,-0.798017,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
SalmonGums,2009-01-02,14.7,37.6,0.0,43.0,24.0,17.0,58.0,22.0,21.2,35.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,0.798017,-0.850217,0.526432,-0.982973,0.18375,0,0,1,0,0,0,0,0,0,0,0
SalmonGums,2009-01-03,15.8,32.0,0.0,54.0,15.0,30.0,60.0,37.0,23.5,30.4,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,-0.982973,0.18375,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
SalmonGums,2009-01-04,17.0,30.8,0.0,50.0,24.0,22.0,66.0,29.0,19.0,28.7,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,0.739009,0.673696,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
SalmonGums,2009-01-05,11.0,35.9,0.0,41.0,15.0,11.0,61.0,21.0,19.7,33.2,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.850217,0.526432,0.739009,0.673696,0,0,1,0,0,0,0,0,0,0,0
SalmonGums,2009-01-06,15.6,31.8,0.0,44.0,19.0,19.0,67.0,32.0,20.3,30.4,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,0.739009,0.673696,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
SalmonGums,2009-01-07,16.2,30.9,0.0,46.0,28.0,24.0,68.0,33.0,19.2,28.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,0.445738,0.895163,0.739009,0.673696,0,0,1,0,0,0,0,0,0,0,0
SalmonGums,2009-01-08,15.9,34.3,0.0,44.0,24.0,22.0,60.0,30.0,20.7,31.9,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,0.445738,0.895163,0.739009,0.673696,0,0,1,0,0,0,0,0,0,0,0
SalmonGums,2009-01-09,15.1,34.5,0.0,46.0,22.0,9.0,59.0,25.0,20.7,32.6,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.445738,0.895163,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
SalmonGums,2009-01-10,14.3,35.3,0.0,50.0,15.0,11.0,52.0,23.0,21.1,34.2,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.850217,0.526432,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
