id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Katherine,2013-03-01,24.7,34.6,0.0,4.0,43.0,17.0,19.0,74.0,49.0,1008.5,1005.0,7.0,28.7,34.1,0.0,0.0,0.0,1.0,0.0,1.0,0.932472,0.361242,0.092268,-0.995734,0.092268,0.995734,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-02,25.2,31.1,0.8,6.4,26.0,11.0,7.0,88.0,77.0,1008.6,1004.1,8.0,27.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,0.932472,0.361242,0.445738,-0.895163,-0.850217,-0.526432,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-03,25.4,35.9,0.0,3.8,48.0,13.0,15.0,82.0,55.0,1004.1,999.6,6.0,29.2,35.1,0.0,1.0,0.0,1.0,0.0,1.0,-0.850217,-0.526432,-0.850217,-0.526432,-0.850217,-0.526432,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-04,21.6,33.0,81.0,6.6,37.0,13.0,20.0,95.0,64.0,1005.1,1002.0,8.0,25.1,31.2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.092268,-0.995734,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-05,24.9,36.0,0.0,4.0,30.0,13.0,13.0,89.0,61.0,1007.1,1003.8,7.0,26.9,33.6,0.0,0.0,0.0,1.0,0.0,1.0,-0.602635,-0.798017,0.445738,-0.895163,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-06,24.0,35.9,0.0,6.6,46.0,19.0,13.0,77.0,49.0,1008.0,1004.3,1.0,28.5,35.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.602635,0.798017,0.932472,0.361242,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-07,24.5,35.7,0.0,12.0,26.0,17.0,11.0,81.0,49.0,1008.4,1004.8,3.0,28.0,35.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.602635,-0.798017,0.445738,-0.895163,0.092268,0.995734,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-08,25.2,36.5,0.0,6.0,39.0,9.0,9.0,77.0,50.0,1009.3,1004.3,7.0,28.5,35.2,0.0,1.0,0.0,1.0,0.0,1.0,0.092268,0.995734,1.0,0.0,-0.273663,-0.961826,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-09,21.7,32.8,6.6,6.6,61.0,22.0,13.0,93.0,63.0,1009.8,1003.9,8.0,22.6,31.4,1.0,0.0,0.0,1.0,0.0,1.0,-0.982973,-0.18375,-0.602635,-0.798017,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-10,21.7,35.9,0.4,4.2,46.0,9.0,9.0,85.0,53.0,1007.7,1002.3,7.0,28.5,34.8,0.0,1.0,0.0,1.0,0.0,1.0,0.739009,-0.673696,1.0,0.0,0.092268,-0.995734,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-11,23.4,34.6,6.6,6.0,31.0,4.0,15.0,83.0,54.0,1007.1,1003.0,6.0,27.7,34.5,1.0,0.0,0.0,1.0,0.0,1.0,-0.982973,-0.18375,-0.602635,0.798017,-0.273663,0.961826,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-12,23.9,34.8,0.0,6.4,20.0,0.0,9.0,87.0,47.0,1008.2,1003.6,6.0,26.8,34.0,0.0,0.0,0.0,1.0,0.0,1.0,0.739009,-0.673696,0.445738,-0.895163,0.092268,-0.995734,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-13,23.2,37.3,0.0,4.0,59.0,13.0,15.0,78.0,48.0,1007.8,1004.2,1.0,28.0,35.8,0.0,0.0,0.0,1.0,0.0,1.0,0.445738,0.895163,0.445738,-0.895163,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-14,22.9,37.0,0.0,5.4,30.0,13.0,13.0,76.0,55.0,1008.5,1004.9,7.0,27.0,35.2,0.0,0.0,0.0,1.0,0.0,1.0,-0.602635,-0.798017,0.932472,0.361242,0.932472,0.361242,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-15,25.1,37.5,0.0,6.0,74.0,20.0,11.0,77.0,47.0,1011.2,1007.2,6.0,29.5,36.2,0.0,0.0,0.0,1.0,0.0,1.0,0.445738,-0.895163,0.445738,-0.895163,0.092268,0.995734,0,0,0,0,0,0,1,0,0,0,0
Katherine,2013-03-16,23.4,37.4,1.0,9.0,63.0,11.0,9.0,68.0,47.0,1012.1,1008.1,0.0,29.0,36.1,0.0,1.0,0.0,1.0,0.0,1.0,-0.273663,-0.961826,0.445738,-0.895163,0.092268,-0.995734,0,0,0,0,0,0,1,0,0,0,0
