id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Richmond,2009-01-01,12.0,33.1,0.0,7.4,61.0,9.0,31.0,65.0,17.0,1005.5,1001.0,20.0,32.1,0.0,0.0,0.866025,0.5,0.0,1.0,1.0,0.0,0.445738,0.895163,0.092268,0.995734,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-02,15.9,25.8,0.0,19.0,50.0,13.0,35.0,65.0,50.0,1012.6,1012.1,20.0,23.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.445738,0.895163,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-03,13.6,20.8,0.0,7.4,24.0,7.0,9.0,60.0,51.0,1021.9,1019.1,16.8,20.0,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,-0.982973,0.18375,0.445738,-0.895163,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-04,16.3,30.1,0.0,7.4,33.0,4.0,17.0,74.0,43.0,1018.7,1013.5,19.6,29.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,0.445738,0.895163,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-05,14.6,36.5,0.0,15.2,57.0,7.0,24.0,71.0,20.0,1013.1,1007.7,21.2,36.1,0.0,0.0,0.866025,0.5,0.0,1.0,1.0,0.0,0.739009,-0.673696,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-06,14.0,38.2,0.0,7.4,59.0,6.0,11.0,71.0,9.0,1011.8,1006.1,22.5,38.0,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,0.995734,-0.602635,-0.798017,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-07,15.6,38.2,0.0,7.4,48.0,9.0,19.0,73.0,47.0,1010.0,1004.2,22.2,35.8,0.0,0.0,0.866025,0.5,0.0,1.0,1.0,0.0,-0.850217,0.526432,0.445738,0.895163,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-08,19.4,21.4,0.0,7.4,43.0,11.0,19.0,82.0,99.0,1012.4,1013.4,20.2,18.3,0.0,1.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.273663,0.961826,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-09,14.2,21.2,1.4,24.0,37.0,17.0,13.0,71.0,45.0,1020.3,1018.5,16.9,19.9,1.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,-0.982973,0.18375,0.739009,0.673696,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-10,11.3,25.1,0.0,7.4,35.0,6.0,19.0,58.0,39.0,1017.1,1012.7,17.2,23.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,-0.273663,0.961826,0.739009,0.673696,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-11,11.8,28.5,0.0,7.4,37.0,2.0,17.0,61.0,37.0,1014.3,1009.8,19.4,27.8,0.0,1.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,1.0,0.0,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-12,15.4,28.3,3.4,13.4,50.0,4.0,30.0,100.0,55.0,1015.8,1014.8,17.8,26.4,1.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,1.0,0.0,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-13,17.8,31.1,0.2,7.4,35.0,11.0,17.0,89.0,39.0,1019.4,1015.0,22.7,29.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,-0.850217,0.526432,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-14,15.1,38.4,0.0,11.8,37.0,4.0,13.0,70.0,19.0,1014.6,1009.5,22.3,37.0,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,-0.273663,-0.961826,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-15,17.6,40.7,0.0,8.8,72.0,11.0,24.0,49.0,17.0,1008.9,1005.1,29.7,39.9,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.850217,0.526432,0.445738,0.895163,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-16,15.9,34.9,0.4,10.8,63.0,6.0,11.0,55.0,30.0,1012.9,1007.4,19.8,30.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.602635,0.798017,0.445738,-0.895163,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-17,14.7,21.4,0.2,7.4,35.0,11.0,17.0,62.0,42.0,1020.8,1020.1,15.9,20.0,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.982973,0.18375,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-18,10.7,28.0,0.0,7.4,33.0,4.0,11.0,56.0,30.0,1022.1,1018.5,18.0,27.1,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,-0.850217,0.526432,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-19,11.6,33.5,0.0,17.8,41.0,6.0,19.0,65.0,23.0,1019.4,1013.5,18.9,31.9,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,0.739009,-0.673696,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-20,15.4,39.0,0.0,8.0,44.0,4.0,19.0,60.0,19.0,1013.7,1008.8,22.7,38.5,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,0.995734,-0.850217,0.526432,0.445738,0.895163,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-21,21.6,38.9,0.0,9.2,46.0,9.0,17.0,61.0,26.0,1011.7,1006.6,26.5,38.1,0.0,1.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,0.739009,-0.673696,0.445738,0.895163,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-22,21.2,32.6,1.6,7.6,48.0,13.0,22.0,65.0,48.0,1008.9,1005.7,26.0,30.9,1.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,-0.798017,0.445738,0.895163,-0.982973,0.18375,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-23,23.0,36.4,0.2,7.4,46.0,17.0,19.0,53.0,40.0,1008.9,1006.0,29.6,35.0,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,0.739009,-0.673696,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Richmond,2009-01-24,23.0,41.0,0.0,7.4,69.0,20.0,35.0,51.0,23.0,1004.8,1002.6,32.6,40.5,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.092268,-0.995734,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0
